DATE,VALUE
1993-10-01,6.12
1993-10-08,6.09
1993-10-15,5.99
1993-10-22,6.03
1993-10-29,6.14
1993-11-05,6.31
1993-11-12,6.35
1993-11-19,6.39
1993-11-26,6.47
1993-12-03,6.42
1993-12-10,6.31
1993-12-17,6.45
1993-12-24,6.41
1993-12-31,6.41
1994-01-07,6.48
1994-01-14,6.34
1994-01-21,6.38
1994-01-28,6.35
1994-02-04,6.38
1994-02-11,6.52
1994-02-18,6.58
1994-02-25,6.76
1994-03-04,6.86
1994-03-11,6.95
1994-03-18,6.96
1994-03-25,7.02
1994-04-01,7.18
1994-04-08,7.41
1994-04-15,7.39
1994-04-22,7.44
1994-04-29,7.34
1994-05-06,7.51
1994-05-13,7.69
1994-05-20,7.44
1994-05-27,7.54
1994-06-03,7.50
1994-06-10,7.39
1994-06-17,7.50
1994-06-24,7.57
1994-07-01,7.67
1994-07-08,7.74
1994-07-15,7.74
1994-07-22,7.62
1994-07-29,7.60
1994-08-05,7.49
1994-08-12,7.66
1994-08-19,7.63
1994-08-26,7.69
1994-09-02,7.62
1994-09-09,7.76
1994-09-16,7.87
1994-09-23,7.93
1994-09-30,7.99
1994-10-07,8.08
1994-10-14,8.01
1994-10-21,8.06
1994-10-28,8.16
1994-11-04,8.21
1994-11-11,8.26
1994-11-18,8.22
1994-11-25,8.15
1994-12-02,8.10
1994-12-09,7.99
1994-12-16,8.00
1994-12-23,7.97
1994-12-30,7.96
1995-01-06,8.02
1995-01-13,7.99
1995-01-20,7.95
1995-01-27,7.97
1995-02-03,7.81
1995-02-10,7.76
1995-02-17,7.73
1995-02-24,7.69
1995-03-03,7.61
1995-03-10,7.68
1995-03-17,7.48
1995-03-24,7.55
1995-03-31,7.51
1995-04-07,7.48
1995-04-14,7.46
1995-04-21,7.46
1995-04-28,7.41
1995-05-05,7.29
1995-05-12,7.04
1995-05-19,6.95
1995-05-26,6.86
1995-06-02,6.66
1995-06-09,6.60
1995-06-16,6.64
1995-06-23,6.54
1995-06-30,6.60
1995-07-07,6.59
1995-07-14,6.56
1995-07-21,6.84
1995-07-28,6.90
1995-08-04,6.92
1995-08-11,6.95
1995-08-18,7.00
1995-08-25,6.93
1995-09-01,6.74
